ticker,ex_date,amount
DIVO,2023-09-27,0.141
DIVO,2023-10-27,0.138
DIVO,2023-11-28,0.142
DIVO,2023-12-27,0.146
DIVO,2024-01-29,0.149
DIVO,2024-02-27,0.152
DIVO,2024-03-26,0.155
DIVO,2024-04-26,0.153
DIVO,2024-05-30,0.154
DIVO,2024-06-27,0.156
DIVO,2024-07-30,0.158
DIVO,2024-08-29,0.161
DIVO,2024-09-27,0.163
DIVO,2024-10-30,0.164
DIVO,2024-11-27,0.171
DIVO,2024-12-30,0.165
DIVO,2025-01-30,0.169
DIVO,2025-02-27,0.167
DIVO,2025-03-28,0.165
DIVO,2025-04-29,0.158
DIVO,2025-05-29,0.165
DIVO,2025-06-27,0.168
DIVO,2025-07-30,0.172
DIVO,2025-08-28,0.175
DIVO,2025-09-29,0.177
DIVO,2025-10-30,0.182
DIVO,2025-11-26,0.214
DIVO,2025-12-30,0.953
DIVO,2026-01-29,0.183
DIVO,2026-02-26,0.186
DIVO,2026-03-30,0.179
DIVO,2026-04-29,0.181
DIVO,2026-05-28,0.184
DIVP,2024-03-26,0.065
DIVP,2024-04-26,0.116
DIVP,2024-05-30,0.119
DIVP,2024-06-27,0.122
DIVP,2024-07-30,0.152
DIVP,2024-08-29,0.172
DIVP,2024-09-27,0.156
DIVP,2024-10-30,0.123
DIVP,2024-11-27,0.134
DIVP,2024-12-30,0.323
DIVP,2025-01-30,0.144
DIVP,2025-02-27,0.088
DIVP,2025-03-28,0.2
DIVP,2025-04-29,0.134
DIVP,2025-05-29,0.108
DIVP,2025-06-27,0.098
DIVP,2025-07-30,0.143
DIVP,2025-08-28,0.159
DIVP,2025-09-29,0.099
DIVP,2025-10-30,0.142
DIVP,2025-11-26,0.09
DIVP,2025-12-30,0.135
DIVP,2026-01-29,0.121
DIVP,2026-02-26,0.113
DIVP,2026-03-30,0.188
DIVP,2026-04-29,0.134
DIVP,2026-05-28,0.099
DJIA,2022-03-21,0.223
DJIA,2022-04-18,0.201
DJIA,2022-05-23,0.168
DJIA,2022-06-21,0.224
DJIA,2022-07-18,0.203
DJIA,2022-08-22,0.15
DJIA,2022-09-19,0.215
DJIA,2022-10-24,0.216
DJIA,2022-11-21,0.173
DJIA,2022-12-29,0.207
DJIA,2023-01-23,0.136
DJIA,2023-02-21,0.138
DJIA,2023-03-20,0.214
DJIA,2023-04-24,0.118
DJIA,2023-05-22,0.062
DJIA,2023-06-20,0.159
DJIA,2023-07-24,0.106
DJIA,2023-08-21,0.165
DJIA,2023-09-18,0.104
DJIA,2023-10-23,0.142
DJIA,2023-11-20,0.107
DJIA,2023-12-28,0.118
DJIA,2024-01-22,0.086
DJIA,2024-02-20,0.099
DJIA,2024-03-18,0.11
DJIA,2024-04-22,0.174
DJIA,2024-05-20,0.131
DJIA,2024-06-24,0.098
